weekday;inscription;name;address
TERÇA-FEIRA;31607;RAINHA DA NOITE TERÇA-FEIRA;RUA RODOLFO BARBOSA DE CASTRO,PARQUE GUARANI,SÃO PAULO
QUARTA-FEIRA;41050;VERDE QUARTA-FEIRA;RUA FLOR DE SANTA CRUZ, 55,VL VERDE,SÃO PAULO
QUARTA-FEIRA;41173;JARDIM ARIZI QUARTA-FEIRA;RUA UACUMA, 58,JD ARIZI,SÃO PAULO
QUARTA-FEIRA;41203;SABADO D'ANGELO QUARTA-FEIRA;RUA VIRGINIA FERNI, S/N,COHAB II,SÃO PAULO
QUARTA-FEIRA;41602;JARDIM ITAPEMIRIM QUARTA-FEIRA;RUA DIOGO JOSE MACHADO, S/N,JD ITAPEMIRIM,SÃO PAULO
QUARTA-FEIRA;41610;VILA BRASIL QUARTA-FEIRA;RUA CANDIDO DE GODOI, S/N,VL BRASIL,SÃO PAULO
QUARTA-FEIRA;41661;CIDADE LIDER QUARTA-FEIRA;RUA JERONIMO DE BARROS, S/N,CID LIDER,SÃO PAULO
QUARTA-FEIRA;41890;DOM BOSCO QUARTA-FEIRA;RUA ANTONIO GANDINE,ITAQUERA,SÃO PAULO
QUINTA-FEIRA;50458;ITAQUERA QUINTA-FEIRA;RUA BENTO VIEIRA CASTRO, 344,ITAQUERA,SÃO PAULO
QUINTA-FEIRA;51128;JOSE BONIFACIO QUINTA-FEIRA;PC BOM PASTOR, 462,ITAQUERA,SÃO PAULO
QUINTA-FEIRA;51233;VILA CAMPANELA QUINTA-FEIRA;RUA CAXIU, S/N,VL CAMPANELA,SÃO PAULO
QUINTA-FEIRA;51357;SANTA MARCELINA QUINTA-FEIRA;RUA PRAIA DE TORRES, S/N,VL CARMOSINA,SÃO PAULO
QUINTA-FEIRA;51721;VILA CARMOSINA QUINTA-FEIRA;RUA VENTUROSA, S/N,VL CARMOSINA,SÃO PAULO
QUINTA-FEIRA;54011;CARLOS ALBACINI QUINTA-FEIRA;RUA CARLOS ALBACINI,JOSE BONIFACIO,SÃO PAULO
SEXTA-FEIRA;60569;JARDIM SANTA HELENA SEXTA-FEIRA;RUA SANTA EDITH, 357,JD STA HELENA,SÃO PAULO
SEXTA-FEIRA;60925;VILA MATILDE SEXTA-FEIRA;RUA PEDRO LUIZ DE SOUZA, 22,JD BRASILIA,SÃO PAULO
SEXTA-FEIRA;61050;CARMOSINA SEXTA-FEIRA;RUA SAO FELIX DO PIAUI, 1057,VL CARMOSINA,SÃO PAULO
